ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
199,1,0,60,0,-60
200,0,0,19,0,-19
201,1,1,2106,1967,-139
202,0,0,26,0,-26
203,1,0,21,0,-21
204,0,0,2,0,-2
205,1,1,42,2079,2037
206,0,0,39,0,-39
207,0,0,20,0,-20
208,1,0,54,0,-54
209,1,1,64,1411,1347
210,1,1,1650,1738,88
211,1,1,168,2864,2696
212,1,1,245,1997,1752
213,1,0,91,0,-91
214,1,0,86,0,-86
215,0,0,0,0,0
216,0,0,21,0,-21
217,0,0,11,0,-11
218,1,0,91,0,-91
219,0,0,0,0,0
220,1,0,8,0,-8
221,0,0,95,0,-95
222,1,0,48,0,-48
223,0,0,196,0,-196
224,0,0,19,0,-19
225,0,0,49,0,-49
226,0,0,10,0,-10
227,1,1,568,1469,901
228,0,0,11,0,-11
229,1,0,31,0,-31
230,1,0,172,0,-172
231,1,1,89,1438,1349
232,1,0,20,0,-20
233,1,1,1584,1653,69
234,0,0,1,0,-1
235,1,0,1,0,-1
236,1,0,111,0,-111
237,1,1,692,1559,867
238,0,0,76,0,-76
239,0,0,288,0,-288
240,1,0,9,0,-9
241,0,0,46,0,-46
242,1,0,27,0,-27
243,1,0,15,0,-15
244,0,0,109,0,-109
245,1,1,271,1975,1704
246,0,0,18,0,-18
247,1,1,150,1419,1269
248,1,1,151,1485,1334
249,0,0,5,0,-5
250,0,0,14,0,-14
251,1,0,2,0,-2
252,1,0,92,0,-92
253,0,0,26,0,-26
254,1,0,78,0,-78
255,1,0,65,0,-65
256,1,1,792,1715,923
257,1,1,113,1329,1216
258,1,0,40,0,-40
259,1,0,2,0,-2
260,0,0,101,0,-101
261,0,0,12,0,-12
262,0,0,91,0,-91
263,1,1,728,1294,566
264,0,0,8,0,-8
265,0,0,53,0,-53
266,0,0,70,0,-70
267,1,0,13,0,-13
268,1,1,217,1808,1591
269,1,1,280,1329,1049
270,1,0,139,0,-139
271,0,0,15,0,-15
272,1,1,126,1301,1175
273,1,0,14,0,-14
274,1,0,99,0,-99
275,1,1,336,1370,1034
276,1,1,1710,1800,90
277,0,0,187,0,-187
278,0,0,36,0,-36
279,1,0,2,0,-2
280,0,0,90,0,-90
281,1,1,189,1581,1392
282,1,1,1032,1240,208
283,1,1,816,1436,620
284,0,0,19,0,-19
285,0,0,7,0,-7
286,1,1,1102,1250,148
287,1,0,11,0,-11
288,1,0,105,0,-105
289,1,0,262,0,-262
290,1,1,224,2279,2055
291,0,0,8,0,-8
292,1,1,215,2088,1873
293,1,0,5,0,-5
294,1,0,11,0,-11
295,1,1,1117,1324,207
296,1,1,62,1414,1352
297,1,1,40,1361,1321
298,1,0,14,0,-14
299,0,0,18,0,-18
300,0,0,22,0,-22
301,0,0,106,0,-106
302,1,0,8,0,-8
303,1,1,208,1203,995
304,0,0,198,0,-198
305,0,0,8,0,-8
306,1,0,40,0,-40
307,1,0,207,0,-207
308,0,0,29,0,-29
309,1,1,207,1890,1683
310,0,0,107,0,-107
311,0,0,60,0,-60
312,1,0,87,0,-87
313,1,1,160,1514,1354
314,1,0,117,0,-117
315,1,0,290,0,-290
316,0,0,91,0,-91
317,0,0,28,0,-28
318,1,0,75,0,-75
319,1,0,73,0,-73
320,1,0,192,0,-192
321,1,0,5,0,-5
322,1,1,169,2177,2008
323,1,0,39,0,-39
324,1,1,938,1844,906
325,1,1,75,1268,1193
326,1,1,90,1221,1131
327,1,1,254,1228,974
328,1,1,455,1385,930
329,1,1,255,1540,1285
330,1,0,49,0,-49
331,1,0,27,0,-27
332,1,0,26,0,-26
333,1,1,653,1384,731
334,1,0,39,0,-39
335,1,0,49,0,-49
336,1,1,33,1348,1315
337,1,1,305,2170,1865
338,1,0,18,0,-18
339,1,0,75,0,-75
340,1,0,159,0,-159
341,1,0,4,0,-4
342,1,0,4,0,-4
343,0,0,3,0,-3
344,1,0,206,0,-206
345,0,0,1,0,-1
346,1,0,30,0,-30
347,0,0,6,0,-6
348,0,0,98,0,-98
349,0,0,0,0,0
350,1,1,2169,3142,973
351,1,0,77,0,-77
352,0,0,9,0,-9
353,1,1,567,1228,661
354,0,0,143,0,-143
355,1,0,36,0,-36
356,0,0,14,0,-14
357,0,0,29,0,-29
358,1,1,157,1268,1111
359,1,0,204,0,-204
360,0,0,55,0,-55
361,1,1,194,1355,1161
362,1,1,598,1330,732
363,1,1,715,3054,2339
364,1,0,12,0,-12
365,0,0,183,0,-183
366,0,0,7,0,-7
367,1,1,946,1411,465
368,1,1,79,2394,2315
369,1,0,108,0,-108
370,0,0,6,0,-6
371,1,0,65,0,-65
372,1,1,854,1332,478
373,0,0,38,0,-38
374,1,1,247,1300,1053
375,1,0,11,0,-11
376,1,1,791,3137,2346
377,0,0,82,0,-82
378,0,0,125,0,-125
379,1,1,21,2296,2275
380,1,0,137,0,-137
381,0,0,19,0,-19
382,0,0,90,0,-90
383,1,0,44,0,-44
384,0,0,28,0,-28
385,1,1,86,1317,1231
386,0,0,61,0,-61
387,1,0,8,0,-8
388,0,0,68,0,-68
389,0,0,60,0,-60
390,1,1,922,1276,354
391,0,0,18,0,-18
392,1,0,26,0,-26
393,0,0,25,0,-25
394,0,0,1,0,-1
395,0,0,29,0,-29
396,0,0,74,0,-74
397,1,0,5,0,-5
398,1,1,384,1262,878
399,1,0,33,0,-33
400,1,0,22,0,-22
401,1,0,8,0,-8
402,0,0,32,0,-32
403,0,0,30,0,-30
404,1,1,709,1491,782
405,0,0,49,0,-49
406,1,0,108,0,-108
407,0,0,123,0,-123
408,1,0,6,0,-6
409,1,0,16,0,-16
410,1,1,1508,1284,-224
411,1,0,84,0,-84
412,0,0,46,0,-46
413,0,0,41,0,-41
414,0,0,22,0,-22
415,1,1,88,1394,1306
416,1,1,819,1233,414
417,1,0,188,0,-188
418,1,1,269,2296,2027
419,0,0,16,0,-16
420,1,0,15,0,-15
421,0,0,53,0,-53
422,0,0,24,0,-24
423,1,1,145,1311,1166
424,0,0,66,0,-66
425,1,0,25,0,-25
426,0,0,26,0,-26
427,1,0,68,0,-68
428,1,1,258,1459,1201
429,1,0,18,0,-18
430,1,0,40,0,-40
431,0,0,47,0,-47
432,0,0,2,0,-2
433,0,0,99,0,-99
434,1,0,8,0,-8
435,1,0,43,0,-43
436,1,1,835,1373,538
437,1,1,133,2219,2086
438,1,1,958,1454,496
439,1,1,2038,1514,-524
440,0,0,89,0,-89
441,1,1,133,1954,1821
442,0,0,24,0,-24
443,1,1,1223,2018,795
444,0,0,101,0,-101
445,1,0,19,0,-19
446,1,0,14,0,-14
447,1,1,164,1418,1254
448,1,0,40,0,-40
449,1,0,12,0,-12
450,0,0,177,0,-177
451,1,0,2,0,-2
452,0,0,8,0,-8
453,1,0,25,0,-25
454,0,0,33,0,-33
455,1,1,55,1870,1815
456,1,1,126,1335,1209
457,0,0,30,0,-30
458,1,1,198,1519,1321
459,0,0,104,0,-104
460,0,0,10,0,-10
461,1,0,95,0,-95
462,1,0,29,0,-29
463,1,1,24,1294,1270
464,0,0,15,0,-15
465,1,1,1451,1208,-243
466,1,0,60,0,-60
467,1,1,97,1366,1269
468,0,0,43,0,-43
469,1,0,9,0,-9
470,1,0,103,0,-103
471,1,0,12,0,-12
472,1,1,352,1274,922
473,1,1,699,2193,1494
474,1,0,35,0,-35
475,1,0,11,0,-11
476,1,0,1,0,-1
477,1,0,6,0,-6
478,1,0,56,0,-56
479,1,0,43,0,-43
480,1,0,59,0,-59
481,0,0,41,0,-41
482,0,0,63,0,-63
483,0,0,15,0,-15
484,0,0,81,0,-81
485,0,0,148,0,-148
486,1,1,274,1562,1288
487,0,0,23,0,-23
488,1,1,2073,1351,-722
489,1,1,284,2007,1723
490,0,0,46,0,-46
491,0,0,23,0,-23
492,0,0,49,0,-49
493,1,1,368,1381,1013
494,1,0,20,0,-20
495,1,0,27,0,-27
496,1,0,48,0,-48
497,0,0,5,0,-5
498,1,0,73,0,-73
499,1,1,203,1583,1380
500,0,0,72,0,-72
501,1,1,401,1832,1431
502,1,0,251,0,-251
503,1,0,110,0,-110
504,1,1,1029,1750,721
505,0,0,155,0,-155
506,0,0,70,0,-70
507,0,0,172,0,-172
508,0,0,75,0,-75
509,1,0,20,0,-20
510,1,0,13,0,-13
511,0,0,64,0,-64
512,1,1,543,1470,927
513,1,0,97,0,-97
514,1,0,106,0,-106
515,0,0,40,0,-40
516,1,0,6,0,-6
517,0,0,2,0,-2
518,0,0,61,0,-61
519,0,0,147,0,-147
520,1,0,115,0,-115
521,0,0,37,0,-37
522,1,0,2,0,-2
523,1,1,2743,2333,-410
524,1,1,122,1205,1083
525,1,0,131,0,-131
526,0,0,2,0,-2
527,1,1,637,1216,579
528,0,0,12,0,-12
529,1,0,49,0,-49
530,0,0,67,0,-67
531,1,1,265,1236,971
532,1,0,4,0,-4
533,1,1,210,2800,2590
534,1,1,434,2731,2297
535,1,1,758,1223,465
536,1,1,239,2376,2137
537,0,0,63,0,-63
538,1,0,50,0,-50
539,1,0,41,0,-41
540,1,0,179,0,-179
541,1,1,51,1484,1433
542,0,0,5,0,-5
543,1,0,186,0,-186
544,1,0,17,0,-17
545,0,0,9,0,-9
546,1,1,100,1374,1274
547,0,0,111,0,-111
548,0,0,59,0,-59
549,0,0,35,0,-35
550,0,0,5,0,-5
551,0,0,16,0,-16
552,0,0,113,0,-113
553,1,1,83,1296,1213
554,1,1,479,1222,743
555,0,0,37,0,-37
556,0,0,29,0,-29
557,0,0,1,0,-1
558,1,0,6,0,-6
559,1,0,13,0,-13
560,0,0,25,0,-25
561,1,0,15,0,-15
562,1,1,1035,1309,274
563,1,1,411,1242,831
564,1,0,35,0,-35
565,0,0,81,0,-81
566,0,0,5,0,-5
567,1,1,1733,1238,-495
568,1,0,135,0,-135
569,1,0,9,0,-9
570,0,0,5,0,-5
571,1,1,304,1354,1050
572,1,1,391,1281,890
573,1,0,77,0,-77
574,0,0,47,0,-47
575,1,0,42,0,-42
576,1,0,12,0,-12
577,1,1,1774,1347,-427
578,1,1,58,1791,1733
579,0,0,32,0,-32
580,1,1,346,1495,1149
581,0,0,44,0,-44
582,1,0,51,0,-51
583,0,0,0,0,0
584,1,0,22,0,-22
585,1,0,24,0,-24
586,0,0,4,0,-4
587,1,0,15,0,-15
588,1,0,56,0,-56
589,1,0,3,0,-3
590,1,0,4,0,-4
591,1,1,1551,1263,-288
592,1,0,13,0,-13
593,0,0,22,0,-22
594,1,1,468,1564,1096
595,1,1,322,1404,1082
596,0,0,18,0,-18
597,1,1,576,2178,1602
598,0,0,60,0,-60
599,0,0,249,0,-249
600,0,0,31,0,-31
601,0,0,57,0,-57
602,0,0,46,0,-46
603,1,1,156,1540,1384
604,1,1,823,1346,523
605,1,0,65,0,-65
606,1,1,1682,1732,50
607,0,0,49,0,-49
608,1,1,888,1608,720
609,0,0,4,0,-4
610,1,0,0,0,0
611,1,1,53,1840,1787
612,1,1,78,1256,1178
613,0,0,3,0,-3
614,1,0,5,0,-5
615,1,1,946,1251,305
616,0,0,405,0,-405
617,1,1,2151,1751,-400
618,1,0,46,0,-46
619,0,0,15,0,-15
620,1,0,9,0,-9
621,1,1,273,2143,1870
622,1,1,324,2316,1992
623,0,0,3,0,-3
624,1,0,15,0,-15
625,1,1,1058,1392,334
626,0,0,19,0,-19
627,0,0,8,0,-8
628,0,0,98,0,-98
629,1,0,35,0,-35
630,1,0,3,0,-3
631,1,1,403,1841,1438
632,1,1,123,1617,1494
633,1,1,891,1243,352
634,0,0,52,0,-52
635,1,0,8,0,-8
636,1,0,36,0,-36
637,1,0,201,0,-201
638,0,0,46,0,-46
639,1,0,43,0,-43
640,0,0,22,0,-22
641,1,1,975,2194,1219
642,1,1,435,1242,807
643,0,0,8,0,-8
644,0,0,30,0,-30
645,0,0,22,0,-22
646,1,1,51,1697,1646
647,1,0,20,0,-20
648,1,1,1085,1271,186
649,1,1,197,1358,1161
650,1,1,590,1614,1024
651,1,1,400,1367,967
652,0,0,37,0,-37
653,1,1,91,1351,1260
654,1,0,3,0,-3
655,1,0,0,0,0
656,1,1,357,1265,908
657,1,1,95,1215,1120
658,1,0,63,0,-63
659,1,0,80,0,-80
660,0,0,18,0,-18
661,0,0,15,0,-15
662,0,0,14,0,-14
663,1,0,76,0,-76
664,1,0,36,0,-36
665,1,1,167,1306,1139
666,1,0,7,0,-7
667,1,1,347,2442,2095
668,1,0,181,0,-181
669,1,1,1020,1308,288
670,1,0,42,0,-42
671,1,1,1148,1353,205
672,1,1,342,1321,979
673,1,0,36,0,-36
674,1,0,154,0,-154
675,0,0,11,0,-11
676,1,0,2,0,-2
677,1,1,400,1902,1502
678,0,0,2,0,-2
679,1,1,41,2847,2806
680,1,0,53,0,-53
681,0,0,52,0,-52
682,1,0,35,0,-35
683,1,0,35,0,-35
684,0,0,94,0,-94
685,1,1,114,1630,1516
686,0,0,68,0,-68
687,1,1,695,1235,540
688,0,0,36,0,-36
689,0,0,137,0,-137
690,1,1,644,1789,1145
691,1,1,174,1249,1075
692,1,1,997,1702,705
693,0,0,29,0,-29
694,0,0,97,0,-97
695,0,0,32,0,-32
696,0,0,82,0,-82
697,1,1,365,1698,1333
698,1,0,36,0,-36
699,0,0,42,0,-42
700,1,0,23,0,-23
701,1,1,505,1351,846
702,0,0,31,0,-31
703,1,0,117,0,-117
704,1,1,96,1340,1244
705,0,0,1,0,-1
706,0,0,210,0,-210
707,0,0,3,0,-3
708,0,0,13,0,-13
709,0,0,4,0,-4
710,0,0,32,0,-32
711,1,1,182,1418,1236
712,1,1,50,1317,1267
713,0,0,6,0,-6
714,1,0,32,0,-32
715,1,1,565,1486,921
716,0,0,40,0,-40
717,0,0,29,0,-29
718,0,0,13,0,-13
719,1,0,11,0,-11
720,1,1,33,1378,1345
721,1,1,581,1697,1116
722,1,0,38,0,-38
723,1,1,275,1308,1033
724,1,1,400,1457,1057
725,1,1,205,1458,1253
726,1,0,16,0,-16
727,1,1,274,1264,990
728,0,0,3,0,-3
729,0,0,86,0,-86
730,0,0,25,0,-25
731,1,0,10,0,-10
732,1,1,162,2911,2749
733,1,1,212,1405,1193
734,0,0,81,0,-81
735,0,0,26,0,-26
736,1,1,476,2218,1742
737,1,1,377,1263,886
738,0,0,15,0,-15
739,1,0,62,0,-62
740,0,0,35,0,-35
741,0,0,2,0,-2
742,1,0,30,0,-30
743,0,0,17,0,-17
744,1,0,69,0,-69
745,1,1,36,1307,1271
746,1,1,274,3349,3075
747,1,1,187,1409,1222
748,0,0,39,0,-39
749,0,0,12,0,-12
750,1,1,73,3274,3201
751,1,0,37,0,-37
752,1,0,5,0,-5
753,1,0,51,0,-51
754,1,1,57,1419,1362
755,1,1,1628,1579,-49
756,1,1,612,1251,639
757,1,0,20,0,-20
758,0,0,31,0,-31
759,1,0,1,0,-1
760,1,0,56,0,-56
761,1,0,43,0,-43
762,1,1,1454,1674,220
763,1,0,66,0,-66
764,0,0,4,0,-4
765,1,0,5,0,-5
766,1,1,179,1200,1021
767,0,0,17,0,-17
768,1,1,41,1360,1319
769,1,1,646,1288,642
770,1,0,8,0,-8
771,0,0,97,0,-97
772,1,0,108,0,-108
773,1,1,287,1267,980
774,0,0,41,0,-41
775,0,0,15,0,-15
776,1,0,46,0,-46
777,0,0,7,0,-7
778,0,0,5,0,-5
779,0,0,41,0,-41
780,1,1,720,1348,628
781,0,0,75,0,-75
782,1,1,483,1313,830
783,1,0,10,0,-10
784,1,0,20,0,-20
785,1,0,1,0,-1
786,1,0,21,0,-21
787,1,0,11,0,-11
788,1,1,1246,1416,170
789,1,0,53,0,-53
790,0,0,13,0,-13
791,1,0,4,0,-4
792,1,0,104,0,-104
793,1,1,665,1237,572
794,1,1,310,1289,979
795,1,1,413,1322,909
796,1,1,145,1357,1212
797,1,1,152,1818,1666
798,1,1,1899,1935,36
799,1,0,288,0,-288
800,1,1,1962,1369,-593
801,0,0,3,0,-3
802,1,1,172,1240,1068
803,0,0,7,0,-7
804,1,0,27,0,-27
805,1,0,5,0,-5
806,0,0,63,0,-63
807,0,0,30,0,-30
808,0,0,4,0,-4
809,0,0,32,0,-32
810,0,0,7,0,-7
811,0,0,38,0,-38
812,1,1,355,1272,917
813,1,0,7,0,-7
814,0,0,130,0,-130
815,0,0,37,0,-37
816,0,0,0,0,0
817,1,0,53,0,-53
818,1,1,1190,1369,179
819,0,0,8,0,-8
820,0,0,84,0,-84
821,0,0,35,0,-35
822,1,1,178,1575,1397
823,1,0,40,0,-40
824,0,0,79,0,-79
825,1,1,544,1320,776
826,1,1,66,1740,1674
827,1,1,308,2098,1790
828,1,1,126,1605,1479
829,1,0,57,0,-57
830,0,0,105,0,-105
831,1,0,7,0,-7
832,0,0,12,0,-12
833,0,0,22,0,-22
834,1,0,35,0,-35
835,0,0,78,0,-78
836,0,0,81,0,-81
837,0,0,87,0,-87
838,1,1,278,1872,1594
839,1,0,24,0,-24
840,0,0,29,0,-29
841,1,0,63,0,-63
842,1,1,95,1285,1190
843,0,0,86,0,-86
844,0,0,69,0,-69
845,0,0,5,0,-5
846,0,0,110,0,-110
847,0,0,65,0,-65
848,1,0,15,0,-15
849,1,0,48,0,-48
850,1,0,28,0,-28
851,1,1,61,2082,2021
852,1,1,289,1247,958
853,1,0,14,0,-14
854,0,0,126,0,-126
855,0,0,22,0,-22
856,1,0,51,0,-51
857,0,0,16,0,-16
858,0,0,19,0,-19
859,1,0,13,0,-13
860,1,1,190,2093,1903
861,0,0,173,0,-173
862,0,0,14,0,-14
863,0,0,7,0,-7
864,0,0,31,0,-31
865,1,0,31,0,-31
866,1,0,4,0,-4
867,1,0,28,0,-28
868,0,0,50,0,-50
869,1,1,309,1393,1084
870,0,0,261,0,-261
871,0,0,37,0,-37
872,0,0,30,0,-30
873,0,0,6,0,-6
874,0,0,86,0,-86
875,0,0,15,0,-15
876,1,1,71,1302,1231
877,0,0,89,0,-89
878,0,0,32,0,-32
879,1,0,153,0,-153
880,1,1,610,1431,821
881,1,0,109,0,-109
882,0,0,2,0,-2
883,1,0,20,0,-20
884,1,1,310,1256,946
885,1,0,7,0,-7
886,1,0,25,0,-25
887,0,0,170,0,-170
888,0,0,92,0,-92
889,1,1,159,1389,1230
890,1,0,15,0,-15
891,1,0,164,0,-164
892,1,0,127,0,-127
893,0,0,3,0,-3
894,0,0,12,0,-12
895,1,1,360,1320,960
896,1,0,121,0,-121
897,0,0,179,0,-179
898,0,0,47,0,-47
899,0,0,24,0,-24
900,1,1,310,1324,1014
901,0,0,12,0,-12
902,0,0,5,0,-5
903,1,1,824,1349,525
904,1,0,9,0,-9
905,1,0,2,0,-2
906,1,0,64,0,-64
907,0,0,23,0,-23
908,0,0,14,0,-14
909,1,1,145,1582,1437
910,0,0,26,0,-26
911,1,0,20,0,-20
912,0,0,23,0,-23
913,0,0,53,0,-53
914,1,0,15,0,-15
915,1,0,28,0,-28
916,0,0,89,0,-89
917,1,1,511,1769,1258
918,1,1,1052,1581,529
919,1,0,33,0,-33
920,1,0,73,0,-73
921,1,0,59,0,-59
922,0,0,48,0,-48
923,1,1,334,1222,888
924,1,0,25,0,-25
925,0,0,81,0,-81
926,1,1,406,1496,1090
927,0,0,29,0,-29
928,1,0,75,0,-75
929,0,0,55,0,-55
930,0,0,35,0,-35
931,0,0,21,0,-21
932,0,0,10,0,-10
933,1,0,122,0,-122
934,0,0,33,0,-33
935,1,1,378,1215,837
936,1,1,17,1362,1345
937,1,0,9,0,-9
938,1,0,249,0,-249
939,0,0,83,0,-83
940,1,1,106,1272,1166
941,1,0,77,0,-77
942,1,1,1118,1250,132
943,1,0,26,0,-26
944,1,0,56,0,-56
945,1,0,66,0,-66
946,0,0,32,0,-32
947,0,0,102,0,-102
948,1,1,1969,1292,-677
949,0,0,26,0,-26
950,1,0,68,0,-68
951,1,0,22,0,-22
952,0,0,34,0,-34
953,1,0,34,0,-34
954,0,0,151,0,-151
955,1,1,2370,1359,-1011
956,1,0,57,0,-57
957,0,0,116,0,-116
958,0,0,6,0,-6
959,1,1,1979,1204,-775
960,1,1,36,1403,1367
961,1,0,54,0,-54
962,1,0,56,0,-56
963,0,0,112,0,-112
964,1,1,394,1288,894
965,1,0,158,0,-158
966,1,0,89,0,-89
967,1,1,354,2472,2118
968,0,0,5,0,-5
969,0,0,38,0,-38
970,0,0,107,0,-107
971,1,1,94,1265,1171
972,1,0,46,0,-46
973,1,1,322,1669,1347
974,1,1,1597,1217,-380
975,0,0,98,0,-98
976,0,0,64,0,-64
977,1,0,104,0,-104
978,1,1,739,1588,849
979,1,1,243,1719,1476
980,1,0,83,0,-83
981,0,0,52,0,-52
982,0,0,61,0,-61
983,1,0,92,0,-92
984,1,1,645,1209,564
985,1,0,39,0,-39
986,1,1,1003,1241,238
987,0,0,32,0,-32
988,1,0,14,0,-14
989,1,0,32,0,-32
990,0,0,31,0,-31
991,0,0,8,0,-8
992,0,0,11,0,-11
993,0,0,8,0,-8
994,0,0,55,0,-55
995,1,1,460,1287,827
996,1,0,7,0,-7
997,1,1,670,1202,532
998,1,1,596,1400,804
999,0,0,293,0,-293
1000,1,1,235,1713,1478
1001,1,0,5,0,-5
1002,1,1,112,1783,1671
1003,0,0,222,0,-222
1004,1,1,251,1296,1045
1005,1,0,4,0,-4
1006,0,0,9,0,-9
1007,1,1,251,1603,1352
1008,0,0,7,0,-7
1009,0,0,35,0,-35
1010,0,0,1,0,-1
1011,1,0,4,0,-4
1012,1,1,1306,1339,33
1013,0,0,98,0,-98
1014,1,0,2,0,-2
1015,1,0,44,0,-44
1016,0,0,24,0,-24
1017,1,1,131,1672,1541
1018,0,0,2,0,-2
1019,1,1,361,1372,1011
1020,0,0,4,0,-4
1021,0,0,17,0,-17
1022,0,0,3,0,-3
1023,1,0,119,0,-119
1024,0,0,36,0,-36
1025,1,0,16,0,-16
1026,0,0,184,0,-184
1027,1,1,256,1279,1023
1028,1,1,66,1889,1823
1029,1,0,86,0,-86
1030,1,0,18,0,-18
1031,1,0,18,0,-18
1032,0,0,55,0,-55
1033,1,1,246,1478,1232
1034,0,0,63,0,-63
1035,1,0,118,0,-118
1036,0,0,19,0,-19
1037,1,0,7,0,-7
1038,1,1,388,1648,1260
1039,0,0,1,0,-1
1040,0,0,0,0,0
1041,1,1,218,1315,1097
1042,1,0,113,0,-113
1043,1,1,198,1498,1300
1044,1,1,236,1280,1044
1045,0,0,6,0,-6
1046,1,0,47,0,-47
1047,1,1,129,1590,1461
1048,0,0,32,0,-32
1049,1,1,259,1285,1026
