ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
505,0,0,9,0,-9
506,1,0,13,0,-13
507,1,0,55,0,-55
508,1,1,770,1354,584
509,0,0,77,0,-77
510,0,0,136,0,-136
511,1,1,188,2152,1964
512,1,0,8,0,-8
513,0,0,27,0,-27
514,0,0,17,0,-17
515,0,0,22,0,-22
516,0,0,40,0,-40
517,1,1,354,1666,1312
518,1,0,44,0,-44
519,1,1,816,1377,561
520,0,0,62,0,-62
521,1,0,46,0,-46
522,0,0,37,0,-37
523,1,0,7,0,-7
524,1,1,537,1513,976
525,1,0,118,0,-118
526,0,0,15,0,-15
527,1,0,38,0,-38
528,1,0,22,0,-22
529,0,0,6,0,-6
530,0,0,27,0,-27
531,1,1,1576,1387,-189
532,0,0,215,0,-215
533,0,0,33,0,-33
534,1,1,752,2228,1476
535,1,1,467,1752,1285
536,1,0,40,0,-40
537,0,0,13,0,-13
538,0,0,138,0,-138
539,1,1,117,1834,1717
540,1,1,124,1520,1396
541,0,0,11,0,-11
542,1,0,0,0,0
543,1,0,95,0,-95
544,1,0,21,0,-21
545,1,1,79,1291,1212
546,0,0,28,0,-28
547,0,0,199,0,-199
548,1,0,8,0,-8
549,1,0,4,0,-4
550,1,1,423,1219,796
551,0,0,132,0,-132
552,1,1,571,1234,663
553,1,0,18,0,-18
554,1,1,1207,2368,1161
555,0,0,29,0,-29
556,1,1,1483,1870,387
557,0,0,28,0,-28
558,0,0,102,0,-102
559,1,1,66,1302,1236
560,1,0,77,0,-77
561,1,1,79,1776,1697
562,1,1,260,7617,7357
563,1,0,60,0,-60
564,1,1,1261,1222,-39
565,1,0,97,0,-97
566,0,0,50,0,-50
567,0,0,12,0,-12
568,1,0,28,0,-28
569,1,0,6,0,-6
570,0,0,203,0,-203
571,1,0,129,0,-129
572,0,0,1,0,-1
573,1,0,58,0,-58
574,1,0,77,0,-77
575,1,1,301,1413,1112
576,1,1,380,1229,849
577,0,0,94,0,-94
578,1,1,231,1323,1092
579,1,1,195,1418,1223
580,0,0,210,0,-210
581,0,0,32,0,-32
582,0,0,202,0,-202
583,1,1,37,2916,2879
584,1,0,94,0,-94
585,1,1,172,1220,1048
586,1,1,89,1620,1531
587,1,0,6,0,-6
588,1,1,537,1266,729
589,0,0,115,0,-115
590,0,0,58,0,-58
591,1,1,197,1227,1030
592,1,0,28,0,-28
593,1,1,318,1938,1620
594,1,1,212,1213,1001
595,1,0,35,0,-35
596,0,0,67,0,-67
597,1,0,16,0,-16
598,0,0,46,0,-46
599,0,0,21,0,-21
600,0,0,18,0,-18
601,1,0,17,0,-17
602,0,0,17,0,-17
603,1,0,5,0,-5
604,0,0,4,0,-4
605,0,0,75,0,-75
606,1,0,65,0,-65
607,0,0,6,0,-6
608,0,0,115,0,-115
609,0,0,7,0,-7
610,1,1,334,1252,918
611,0,0,65,0,-65
612,1,1,168,1230,1062
613,1,1,1425,1336,-89
614,0,0,49,0,-49
615,1,0,14,0,-14
616,1,1,840,1280,440
617,1,0,63,0,-63
618,0,0,33,0,-33
619,1,0,2,0,-2
620,0,0,68,0,-68
621,0,0,61,0,-61
622,0,0,7,0,-7
623,0,0,127,0,-127
624,0,0,9,0,-9
625,0,0,70,0,-70
626,0,0,12,0,-12
627,0,0,12,0,-12
628,0,0,12,0,-12
629,0,0,103,0,-103
630,0,0,86,0,-86
631,0,0,51,0,-51
632,1,0,18,0,-18
633,1,1,951,1475,524
634,0,0,52,0,-52
635,1,0,16,0,-16
636,1,0,22,0,-22
637,0,0,11,0,-11
638,0,0,81,0,-81
639,0,0,18,0,-18
640,1,1,861,1313,452
641,1,0,40,0,-40
642,0,0,67,0,-67
643,1,1,2096,1367,-729
644,0,0,6,0,-6
645,0,0,5,0,-5
646,1,1,569,1271,702
647,0,0,4,0,-4
648,1,1,78,1515,1437
649,1,1,587,1231,644
650,0,0,76,0,-76
651,0,0,0,0,0
652,0,0,70,0,-70
653,1,0,69,0,-69
654,0,0,27,0,-27
655,1,0,17,0,-17
656,1,1,318,1237,919
657,1,1,206,1334,1128
658,0,0,2,0,-2
659,1,1,41,2330,2289
660,1,0,11,0,-11
661,1,0,41,0,-41
662,1,0,139,0,-139
663,0,0,16,0,-16
664,1,1,649,1336,687
665,1,0,55,0,-55
666,0,0,28,0,-28
667,1,1,203,1603,1400
668,1,1,169,1200,1031
669,1,0,8,0,-8
670,1,1,788,1401,613
671,1,1,131,1875,1744
672,0,0,8,0,-8
673,1,1,884,2021,1137
674,0,0,57,0,-57
675,1,0,22,0,-22
676,1,1,2524,1400,-1124
677,1,0,53,0,-53
678,0,0,38,0,-38
679,0,0,2,0,-2
680,1,1,236,1769,1533
681,1,1,76,1328,1252
682,1,0,38,0,-38
683,0,0,61,0,-61
684,1,0,9,0,-9
685,1,1,397,1531,1134
686,0,0,5,0,-5
687,1,1,1536,1362,-174
688,1,0,106,0,-106
689,1,0,11,0,-11
690,1,1,125,1206,1081
691,0,0,7,0,-7
692,0,0,212,0,-212
693,1,0,110,0,-110
694,1,0,51,0,-51
695,0,0,82,0,-82
696,1,1,172,1200,1028
697,1,0,82,0,-82
698,0,0,47,0,-47
699,1,0,23,0,-23
700,0,0,43,0,-43
701,1,0,126,0,-126
702,1,0,12,0,-12
703,1,0,65,0,-65
704,0,0,60,0,-60
705,0,0,104,0,-104
706,0,0,46,0,-46
707,1,0,31,0,-31
708,1,1,943,1336,393
709,1,1,319,1277,958
710,0,0,65,0,-65
711,1,1,426,1421,995
712,1,0,45,0,-45
713,1,0,87,0,-87
714,1,0,4,0,-4
715,1,1,1375,1286,-89
716,1,1,330,1226,896
717,1,0,58,0,-58
718,0,0,66,0,-66
719,1,1,262,1833,1571
720,0,0,38,0,-38
721,1,1,150,1431,1281
722,0,0,47,0,-47
723,0,0,45,0,-45
724,0,0,35,0,-35
725,0,0,112,0,-112
726,0,0,38,0,-38
727,1,0,68,0,-68
728,0,0,40,0,-40
729,1,1,24,1555,1531
730,0,0,5,0,-5
731,1,1,854,2064,1210
732,1,1,326,1442,1116
733,1,1,527,2127,1600
734,0,0,18,0,-18
735,0,0,45,0,-45
736,0,0,9,0,-9
737,1,0,71,0,-71
738,1,0,79,0,-79
739,0,0,7,0,-7
740,1,1,224,1264,1040
741,0,0,4,0,-4
742,0,0,5,0,-5
743,1,1,563,1230,667
744,1,1,18,1464,1446
745,1,1,515,1491,976
746,1,1,312,1249,937
747,1,0,64,0,-64
748,0,0,6,0,-6
749,0,0,67,0,-67
750,0,0,3,0,-3
751,1,0,91,0,-91
752,0,0,194,0,-194
753,1,0,34,0,-34
754,1,1,302,1608,1306
755,0,0,74,0,-74
756,1,0,12,0,-12
757,0,0,80,0,-80
758,0,0,100,0,-100
759,0,0,26,0,-26
760,1,1,265,1822,1557
761,1,1,117,1373,1256
762,0,0,49,0,-49
763,0,0,22,0,-22
764,1,1,620,1981,1361
765,0,0,30,0,-30
766,1,0,71,0,-71
767,0,0,7,0,-7
768,1,0,50,0,-50
769,1,0,48,0,-48
770,0,0,26,0,-26
771,1,0,30,0,-30
772,1,0,73,0,-73
773,1,0,50,0,-50
774,1,0,0,0,0
775,1,0,28,0,-28
776,1,1,2114,1216,-898
777,1,0,58,0,-58
778,0,0,114,0,-114
779,1,0,36,0,-36
780,0,0,32,0,-32
781,0,0,227,0,-227
782,0,0,10,0,-10
783,0,0,60,0,-60
784,0,0,12,0,-12
785,0,0,4,0,-4
786,1,1,1074,1485,411
787,1,1,1177,1285,108
788,0,0,173,0,-173
789,1,0,63,0,-63
790,1,0,32,0,-32
791,1,0,23,0,-23
792,1,1,398,1412,1014
793,1,1,1026,1617,591
794,0,0,10,0,-10
795,0,0,14,0,-14
796,1,1,87,1214,1127
797,1,0,62,0,-62
798,1,1,1091,1630,539
799,0,0,52,0,-52
800,1,0,3,0,-3
801,1,0,6,0,-6
802,1,0,200,0,-200
803,1,0,25,0,-25
804,1,0,11,0,-11
805,0,0,16,0,-16
806,1,0,11,0,-11
807,0,0,21,0,-21
808,0,0,65,0,-65
809,1,1,813,1359,546
810,0,0,17,0,-17
811,1,0,17,0,-17
812,0,0,5,0,-5
813,1,1,1206,1527,321
814,1,0,13,0,-13
815,1,0,14,0,-14
816,1,0,84,0,-84
817,1,1,701,1455,754
818,1,1,817,1242,425
819,1,0,137,0,-137
820,1,0,179,0,-179
821,0,0,144,0,-144
822,1,1,627,1201,574
823,1,0,61,0,-61
824,0,0,17,0,-17
825,0,0,17,0,-17
826,1,0,62,0,-62
827,0,0,47,0,-47
828,0,0,51,0,-51
829,1,1,637,1596,959
830,1,1,740,1367,627
831,0,0,36,0,-36
832,0,0,51,0,-51
833,1,0,85,0,-85
834,0,0,29,0,-29
835,1,0,163,0,-163
836,1,0,21,0,-21
837,1,0,23,0,-23
838,0,0,44,0,-44
839,1,0,2,0,-2
840,1,1,216,1430,1214
841,0,0,10,0,-10
842,1,1,1288,1322,34
843,1,1,57,1312,1255
844,1,1,695,5205,4510
845,0,0,23,0,-23
846,0,0,14,0,-14
847,0,0,168,0,-168
848,1,1,306,1716,1410
849,1,1,836,1568,732
850,1,0,154,0,-154
851,0,0,13,0,-13
852,0,0,29,0,-29
853,0,0,68,0,-68
854,0,0,70,0,-70
855,0,0,88,0,-88
856,0,0,7,0,-7
857,1,0,14,0,-14
858,0,0,22,0,-22
859,1,1,304,1410,1106
860,1,1,339,1607,1268
861,1,0,99,0,-99
862,1,0,38,0,-38
863,1,1,538,1445,907
864,1,1,398,1505,1107
865,1,1,228,1281,1053
866,0,0,176,0,-176
867,0,0,64,0,-64
868,0,0,11,0,-11
869,0,0,11,0,-11
870,1,1,469,1220,751
871,1,0,43,0,-43
872,1,0,41,0,-41
873,1,0,284,0,-284
874,1,0,6,0,-6
875,0,0,19,0,-19
876,1,0,59,0,-59
877,1,0,43,0,-43
878,0,0,12,0,-12
879,1,1,41,1229,1188
880,1,1,205,1317,1112
881,1,0,0,0,0
882,0,0,3,0,-3
883,1,1,194,1523,1329
884,0,0,140,0,-140
885,1,0,31,0,-31
886,1,0,14,0,-14
887,0,0,35,0,-35
888,0,0,28,0,-28
889,0,0,3,0,-3
890,1,1,252,1255,1003
891,1,0,3,0,-3
892,0,0,4,0,-4
893,1,1,82,2957,2875
894,1,0,30,0,-30
895,1,0,135,0,-135
896,1,1,985,1227,242
897,1,1,350,1306,956
898,0,0,4,0,-4
899,0,0,39,0,-39
900,0,0,23,0,-23
901,1,1,237,3092,2855
902,1,0,24,0,-24
903,1,1,801,1322,521
904,0,0,92,0,-92
905,1,0,3,0,-3
906,1,1,409,1232,823
907,1,1,285,1512,1227
908,1,0,2,0,-2
909,1,0,19,0,-19
910,1,0,58,0,-58
911,1,0,118,0,-118
912,1,0,38,0,-38
913,0,0,131,0,-131
914,0,0,17,0,-17
915,0,0,22,0,-22
916,0,0,32,0,-32
917,0,0,118,0,-118
918,1,1,753,1383,630
919,1,1,106,2031,1925
920,1,1,312,1381,1069
921,1,1,415,1404,989
922,0,0,95,0,-95
923,0,0,27,0,-27
924,0,0,22,0,-22
925,1,1,1367,1328,-39
926,1,0,108,0,-108
927,0,0,16,0,-16
928,0,0,7,0,-7
929,1,1,269,1248,979
930,1,1,279,1279,1000
931,1,0,139,0,-139
932,0,0,30,0,-30
933,1,1,136,1829,1693
934,0,0,243,0,-243
935,1,1,108,1575,1467
936,1,1,426,1433,1007
937,0,0,37,0,-37
938,0,0,35,0,-35
939,1,0,1,0,-1
940,1,0,138,0,-138
941,1,1,301,1643,1342
942,1,1,297,1225,928
943,0,0,17,0,-17
944,0,0,69,0,-69
945,1,0,110,0,-110
946,1,1,170,1293,1123
947,1,1,883,1489,606
948,0,0,52,0,-52
949,0,0,4,0,-4
950,1,1,249,2473,2224
951,1,1,671,1586,915
952,1,0,13,0,-13
953,1,0,47,0,-47
954,1,1,622,1440,818
955,1,0,6,0,-6
956,1,1,177,1211,1034
957,1,1,23,1289,1266
958,1,1,545,1943,1398
959,1,1,257,1713,1456
960,1,0,8,0,-8
961,1,1,643,1239,596
962,0,0,49,0,-49
963,1,0,32,0,-32
964,1,1,147,1614,1467
965,1,1,690,1252,562
966,1,0,20,0,-20
967,1,1,658,2141,1483
968,0,0,64,0,-64
969,1,1,304,1488,1184
970,0,0,45,0,-45
971,1,0,23,0,-23
972,1,0,38,0,-38
973,1,0,12,0,-12
974,0,0,63,0,-63
975,1,1,382,1388,1006
976,0,0,40,0,-40
977,1,1,637,1662,1025
978,0,0,41,0,-41
979,1,0,88,0,-88
980,0,0,89,0,-89
981,0,0,21,0,-21
982,1,1,757,1307,550
983,1,0,58,0,-58
984,0,0,6,0,-6
985,1,1,134,1487,1353
986,1,1,148,1301,1153
987,0,0,20,0,-20
988,1,1,114,1412,1298
989,1,1,342,1712,1370
990,0,0,101,0,-101
991,1,0,38,0,-38
992,1,1,569,1211,642
993,0,0,56,0,-56
994,0,0,9,0,-9
995,1,1,938,1361,423
996,0,0,64,0,-64
997,1,0,20,0,-20
998,1,1,240,2224,1984
999,1,0,2,0,-2
1000,0,0,59,0,-59
1001,1,1,353,1278,925
1002,1,1,416,1393,977
1003,1,1,828,1536,708
1004,1,0,38,0,-38
1005,1,0,0,0,0
1006,0,0,120,0,-120
1007,1,0,2,0,-2
1008,0,0,39,0,-39
1009,1,0,7,0,-7
1010,1,1,355,1271,916
1011,1,1,778,1474,696
1012,0,0,16,0,-16
1013,0,0,27,0,-27
1014,1,1,586,1388,802
1015,1,0,20,0,-20
1016,1,0,16,0,-16
1017,0,0,2,0,-2
1018,1,1,463,1247,784
1019,1,1,110,1815,1705
1020,0,0,12,0,-12
1021,1,0,58,0,-58
1022,1,1,1099,1236,137
1023,0,0,9,0,-9
1024,0,0,62,0,-62
1025,0,0,34,0,-34
1026,0,0,6,0,-6
1027,0,0,315,0,-315
1028,1,1,486,1725,1239
1029,1,0,62,0,-62
1030,1,1,664,1243,579
1031,1,0,17,0,-17
1032,0,0,81,0,-81
1033,1,1,523,1778,1255
1034,0,0,13,0,-13
1035,0,0,48,0,-48
1036,1,0,4,0,-4
1037,1,0,5,0,-5
1038,1,1,185,1377,1192
1039,1,1,197,1447,1250
1040,0,0,22,0,-22
1041,0,0,42,0,-42
1042,1,0,105,0,-105
1043,1,0,96,0,-96
1044,1,0,26,0,-26
1045,0,0,14,0,-14
1046,1,0,53,0,-53
1047,1,1,558,2193,1635
