ID,Возраст,Доход клиента,Вероятность банкротства,Флаг утилизации счёта,Расходы,PV КК,PV услуги,NPV
36,20,22083.280941952962,0.1344287000984993,1,183,5764,1599,7180
37,53,29854.180915326513,0.013906313939680158,1,397,8322,1978,9903
38,54,26447.18298674527,0.1058124656672157,1,407,7939,2748,10280
39,19,109776.57611731753,0.3512996121307884,0,34,0,0,-34
40,52,25933.40896278626,0.44288206079389847,0,20,0,0,-20
41,40,27508.727001800864,0.10292305034355836,0,39,0,0,-39
42,32,25439.262967331117,0.1812657373195075,1,125,12196,1395,13466
43,40,25438.839629822083,0.004182561445692474,1,68,6947,1372,8251
44,36,21419.32154397304,0.31541317692200066,1,199,6158,1462,7421
45,45,30276.70931000237,0.26851804531479084,0,18,0,0,-18
46,32,21182.64414206248,0.07528201959992319,1,819,6979,1955,8115
47,42,39603.757406227865,0.16841763346900773,1,96,37026,1458,38388
48,50,66114.91534259288,0.11774688542553066,0,14,0,0,-14
49,27,21752.304610563257,0.08529954071233364,1,756,14624,1437,15305
50,20,23962.05542442799,0.03140919634225095,1,244,6222,1570,7548
51,27,44146.70682620839,0.10519335088943485,1,935,7842,1956,8863
52,22,28165.51055958622,0.049161394060956515,1,235,8682,4567,13014
53,26,28700.991685905356,0.07612199605596304,1,204,8799,1485,10080
54,24,22411.72256136761,0.08054499828441039,0,11,0,0,-11
55,23,23137.284473957785,0.03357318614544495,1,38,5680,2982,8624
56,51,20358.751770764917,0.30479036996062847,0,37,0,0,-37
57,20,27094.23808018765,0.018761424037367413,1,387,6858,1578,8049
58,19,21359.04993193582,0.027956177026249498,1,111,8244,2970,11103
59,20,26715.832952187597,0.06915074893209464,1,112,10072,2910,12870
60,32,27705.545656445804,0.14714627972860528,1,31,10767,1932,12668
61,19,37591.50236927601,0.0733700535496674,1,1295,6542,1798,7045
62,48,25713.249395724546,0.4315787300686294,1,181,10010,1963,11792
63,57,30475.756115518387,0.03491010936403568,1,778,5749,2281,7252
64,21,20099.316798169086,0.15171431767931218,1,73,46373,1397,47697
65,51,20092.46232025175,0.05763319790134733,1,912,8578,1631,9297
66,58,67161.40165410883,0.15807431364328633,1,160,7014,1989,8843
67,31,29366.56231074526,0.0548245151737621,1,839,6890,1382,7433
68,26,23173.407351942875,0.023184243794469567,1,835,7438,1840,8443
69,26,20608.981570848693,0.12918472021535968,0,53,0,0,-53
70,69,23240.011890613547,0.17801724926514942,0,11,0,0,-11
71,31,44279.071794866686,0.014270115162813653,1,119,10017,1438,11336
72,27,32534.180629408867,0.07568134759054877,1,1158,9992,1436,10270
73,25,39189.82018644629,0.24352650335775908,1,165,57919,2414,60168
74,23,31515.36613347524,0.009417891009160871,1,792,8001,1479,8688
75,23,43917.25640232652,0.3550583200336966,0,119,0,0,-119
76,32,38912.62985382305,0.0010315111133081703,0,15,0,0,-15
77,27,24043.35860570191,0.08172080925543049,1,1736,6241,1677,6182
78,26,39504.3963279148,0.06142685114470385,0,96,0,0,-96
79,33,22351.052046129516,0.055178421466533394,0,134,0,0,-134
80,20,20752.667487958806,0.029971605656144408,1,230,14460,2418,16648
81,29,23474.41035529878,0.09830290663831402,1,183,30961,1455,32233
82,22,23626.093348513536,0.1731551580456847,1,694,6985,1498,7789
83,67,20727.45176533794,0.009258359462977431,1,1026,7634,1882,8490
84,30,25621.687033595215,0.011140885389574666,1,38,7488,6253,13703
85,50,20971.744806723887,0.13334538123809334,0,65,0,0,-65
86,41,41016.49584152127,0.15012262700778134,1,1326,6974,1502,7150
87,42,20729.37317387823,0.13971656278256483,0,21,0,0,-21
88,46,29294.614927538598,0.2598682290747538,0,43,0,0,-43
89,49,22678.166527116064,0.00046871993659819644,1,312,11857,2034,13579
90,38,31781.388283322867,0.05437913755939492,1,934,5545,1447,6058
91,26,30697.67187842073,0.11163171392026022,1,424,25257,2117,26950
92,62,39768.81549047421,0.35199308755739817,0,38,0,0,-38
93,24,42208.31200783067,0.039349656179343155,1,120,5853,1841,7574
94,58,27346.558644192297,0.16738049930383686,1,547,5354,1339,6146
95,23,20171.69155300282,0.05290920258126996,1,306,23872,1394,24960
96,28,24574.74820976751,0.3372318715136309,1,442,5247,1425,6230
97,24,27307.8762228987,0.2710044506567481,0,5,0,0,-5
98,62,22911.84429683259,0.3520068083041489,1,251,5347,2344,7440
99,51,20510.12409179515,0.3439576532042308,0,18,0,0,-18
100,52,20960.11878407601,0.12769428705393507,1,45,5698,1999,7652
101,30,22171.845134873623,0.04812398684494584,1,1247,7386,2070,8209
102,62,59183.1251704366,0.012666749271865391,1,879,5508,3381,8010
103,34,33443.20436881462,0.0643362255652417,0,0,0,0,0
104,61,24868.180708177944,0.20662249257394089,1,322,11476,1913,13067
105,28,26755.127681116744,0.2053833431352809,1,1114,6495,3630,9011
106,48,24376.847964602228,0.1881880891121923,0,4,0,0,-4
107,70,26970.235265439605,0.06293705420167194,1,544,9412,1645,10513
108,46,26257.280648835305,0.0026972258363565788,1,114,8184,2919,10989
109,69,21002.552869795898,0.22419498189623513,0,0,0,0,0
110,36,25465.626028189545,0.2924087432981897,0,10,0,0,-10
111,20,22368.435932408287,0.025151947952824272,1,344,20203,1334,21193
112,21,20492.04488644311,0.04868554974132237,1,379,9473,1525,10619
113,74,21143.906692541437,0.047845766802448,1,158,5888,1491,7221
114,39,48338.025008489094,0.06858839432083673,1,37,5762,1600,7325
115,75,21805.797849806702,0.03245701652061814,1,129,9382,1917,11170
116,64,21133.13501721193,0.4974857751140153,0,5,0,0,-5
117,19,21201.003230665177,0.1574797651690927,0,73,0,0,-73
118,35,20121.11078484953,0.059273453309697195,1,886,11591,1340,12045
119,39,24051.17348166331,0.04862415074347805,1,66,58216,1359,59509
120,30,81019.87779570006,0.1646193980983728,1,288,9071,1740,10523
121,33,29133.119128852304,0.2097490177580084,1,543,7903,1703,9063
122,21,39164.01473170735,0.0901537946554701,0,3,0,0,-3
123,23,20828.106137113824,0.1383440086392286,0,52,0,0,-52
124,47,40894.51186396914,0.1954893082480949,1,1198,23873,1702,24377
125,29,21555.716620022882,0.17410541245211644,0,121,0,0,-121
126,75,20551.449434123107,0.0432749873378966,1,466,7608,2344,9486
127,72,20581.365729418714,0.05305184725018813,1,102,19970,1822,21690
128,19,27351.911957490924,0.12101885527634036,0,10,0,0,-10
129,38,22582.361015826187,0.0004950629646587769,1,322,6859,1361,7898
130,71,22515.481996326995,0.029624263329625967,0,31,0,0,-31
131,35,33352.121674082315,0.20580301897486972,0,52,0,0,-52
132,64,25523.042446095493,0.20294471659410723,1,295,13575,1910,15190
133,35,22608.18393753389,0.09475865793583388,0,5,0,0,-5
134,56,23174.048443083146,0.3027063483045926,1,256,7881,1475,9100
135,34,22385.73993029186,0.03346406233622159,1,194,5944,1440,7190
136,22,21394.337531599107,0.12814626558786912,1,669,6524,1336,7191
137,60,23384.83805410698,0.18175711902567485,1,67,10598,1587,12118
138,20,33346.649725962336,0.199738576261928,0,30,0,0,-30
139,74,139339.5592812628,0.12651941838131192,1,1325,6683,2387,7745
140,60,28378.673158622914,0.07055667582093375,1,396,6998,2258,8860
141,35,21988.30993206393,0.07852114508892201,1,437,6365,1629,7557
142,61,21209.413903346984,0.25911588906180216,0,100,0,0,-100
143,23,30777.089770160692,0.009810214389231915,1,2543,15209,3762,16428
144,18,20263.504954173834,0.02809874644745502,1,232,5891,3455,9114
145,32,30339.5061970081,0.022157443444962066,0,12,0,0,-12
146,20,44867.2778470782,0.2548565630213152,1,410,6067,1460,7117
147,35,25679.897752493183,0.24638035225081364,0,39,0,0,-39
148,29,21464.384699843416,0.014667404134499592,1,424,5466,1663,6705
149,33,21694.96038999347,0.029279932966455043,1,24,8467,2378,10821
150,24,25092.51243044072,0.06560185632673102,1,1853,28531,1523,28201
151,30,43945.30762202679,0.04000680389420301,1,52,7261,1551,8760
152,61,22220.696063728887,0.05899614966477546,1,101,6209,1380,7488
153,40,20197.540768208983,0.034831555965040804,0,171,0,0,-171
154,23,23981.66221337786,0.0018265221700726716,1,340,46093,1337,47090
155,19,22703.75795620373,0.1280317120817172,1,1459,19510,1613,19664
156,22,42161.068922957376,0.04027804778003862,0,9,0,0,-9
157,20,31206.886496030143,0.2035798975331285,0,2,0,0,-2
158,69,24367.65914518166,0.2631308320873057,1,1080,6919,1532,7371
159,28,72861.90517008826,0.013776234217857428,1,368,5337,1366,6335
160,40,21193.05213455611,0.012996449415162844,1,443,10139,1429,11125
161,48,33526.77480606148,0.2772489039484662,1,984,5323,1361,5700
162,32,28031.34886805445,0.32838926005387775,1,102,30599,1687,32184
163,23,21402.46685814115,0.1702443463307393,0,76,0,0,-76
164,32,31736.797472843482,0.14062575756270096,1,885,7930,2296,9341
165,58,20680.538895436985,0.0183020113914075,1,1703,13135,1498,12930
166,58,27515.41325996771,0.35844620948093864,1,455,5903,1693,7141
167,48,38940.797201314046,0.01942336114646546,1,7,6552,5562,12107
168,24,33995.27424715419,0.3906016009824645,0,22,0,0,-22
169,66,20876.666099969054,0.422475821915623,0,24,0,0,-24
170,62,27730.37310753504,0.5063271587941288,0,133,0,0,-133
171,28,20965.09580612683,0.12157106833817705,1,833,6257,1508,6932
172,33,25549.60916281077,0.11800400447807237,1,41,7379,1921,9259
173,51,26338.472885577925,0.20107633961942703,1,555,8702,2702,10849
174,20,31802.661755016998,0.1506192374520326,1,170,11312,1729,12871
175,36,21346.574645145138,0.36450813718074476,1,1245,11172,1837,11764
176,68,42951.59035946609,0.3866212768308744,1,147,5698,1583,7134
177,53,30651.973773897327,0.4139453775606259,1,359,5379,1536,6556
178,47,48225.76657406784,0.03287712320142673,1,317,9909,4916,14508
179,38,21640.730474907923,0.09501301664022868,0,6,0,0,-6
180,36,24026.320218023528,0.05378223999247828,0,11,0,0,-11
181,23,20056.41132507588,0.005717214237227878,1,131,11146,1644,12659
182,19,24184.46138228355,0.03149300634853916,1,642,14979,1502,15839
183,35,20201.907109208536,0.08355441039288981,1,795,10425,1642,11272
184,51,25064.024755566174,0.29081458779765545,1,589,11136,1354,11901
185,26,34317.85433712588,0.08263732814240646,0,5,0,0,-5
186,32,30459.072358701516,0.002089834626296286,1,138,6800,10741,17403
187,69,22890.55003544338,0.2189238363858454,1,851,5528,1630,6307
188,36,24346.44458127077,0.0054592679959611584,1,341,6098,2053,7810
189,25,25338.421027562727,0.09072674531061176,1,208,9840,2002,11634
190,68,31001.024855556603,0.33837186061479413,0,89,0,0,-89
191,29,25691.806092728555,0.18952917168784883,1,695,6602,1735,7642
192,41,22571.361071871685,0.06365141758283052,0,31,0,0,-31
193,29,22917.414087233206,0.015043768706004124,1,48,9486,2261,11699
194,19,24014.391495268574,0.020000330539661316,1,177,10654,1653,12130
195,23,20015.785571972898,0.03311302670946034,1,722,5390,1518,6186
196,37,21720.851889489826,0.14539163564498467,1,90,5252,1398,6560
197,38,21881.98918391225,0.08637939404202122,1,24,17297,1526,18799
198,55,21707.43167664156,0.041726780813068846,1,248,5257,1382,6391
199,46,28998.372640076796,0.03630199325042976,1,576,6532,1991,7947
200,56,25784.54167302515,0.23972995866449323,1,27,6352,1403,7728
201,25,30171.970447621534,0.20353977886969485,0,83,0,0,-83
202,31,120713.62602806369,0.08090381423572308,1,210,5383,1542,6715
203,24,20261.206589079236,0.045499754779174735,0,95,0,0,-95
204,64,24804.412333935892,0.028169423026260642,0,50,0,0,-50
205,23,23721.242464300503,0.05855675983689453,1,194,5440,3627,8873
206,43,29586.55547119734,0.10922905640280155,1,537,8659,1443,9565
207,61,23077.27289568336,0.16924387169953348,1,665,7810,1885,9030
208,37,20758.69293798808,0.11741394718929998,1,122,6329,1913,8120
209,27,20550.711722265267,0.18537297063839908,1,258,6345,1396,7483
210,33,23663.95217930142,0.07028700750037599,1,321,5993,1615,7287
211,53,28590.752837710643,0.040183521797585144,0,57,0,0,-57
212,42,28544.41642015587,0.06216548175211915,1,97,8262,1418,9583
213,25,58933.89217731266,0.048098603921641975,1,29,7325,1642,8938
214,57,27294.227420859817,0.09282220024327276,1,527,8176,4027,11676
215,50,31092.378805358618,0.16438490485801865,1,1341,11199,1710,11568
216,49,20212.808657232665,0.1753438052348976,0,163,0,0,-163
217,24,26311.42258332908,0.008708525502697972,1,334,7742,1512,8920
218,22,20632.455716090542,0.04874129056027953,1,315,7929,1941,9555
219,27,25411.83393316946,0.0385361261776369,1,695,5804,1679,6788
220,35,22955.60733099612,0.03122635297805673,1,479,7759,1572,8852
221,25,25335.69620679773,0.22224860957576933,1,512,9383,1969,10840
222,37,31489.572336565478,0.004478967797118614,1,506,7411,1410,8315
223,36,21433.61865014205,0.16164814112256395,0,7,0,0,-7
224,59,23646.294503340403,0.0028600107988073615,1,317,40494,2712,42889
225,36,20804.743854725235,0.023838413006059253,1,178,29938,1422,31182
226,60,42793.57529581589,0.24882984495286944,1,926,8427,3533,11034
227,26,29939.28487799274,0.025343710092258418,1,313,5367,1822,6876
228,31,24660.012994061122,0.011271309397389883,1,377,9909,1556,11088
229,21,47895.04878234814,0.2549715330051239,0,67,0,0,-67
230,22,23109.09455644028,0.5263503585605466,0,8,0,0,-8
231,54,31161.599092527533,0.33936158112533604,0,18,0,0,-18
232,42,21711.722452261474,0.2835410116668672,1,749,6251,1751,7253
233,70,27029.39249121759,0.05976207909814402,1,396,9159,1528,10291
234,39,29368.67870636037,0.07941064501836319,1,365,6679,2001,8315
235,70,21437.596290952206,0.153148444465668,1,12,5815,1767,7570
236,21,22248.42573220746,0.32014398085553974,0,92,0,0,-92
237,67,24129.178313465676,0.3442606417402262,1,384,6950,1396,7962
238,23,29647.407730164654,0.016818828446616318,1,702,6123,1636,7057
239,40,30099.077820397346,0.13224255735560572,1,190,23148,1548,24506
240,64,23531.4408319256,6.290031858317809e-06,1,421,9190,1752,10521
241,39,29055.634969624945,0.050129305027233555,1,374,10170,1403,11199
242,30,28003.03573111196,0.38374031611256043,1,103,8660,1371,9928
243,42,22597.9278550026,0.1387230751434416,1,781,7316,2736,9271
244,56,21581.7800647735,0.21636541086060532,1,75,8075,1800,9800
245,68,32711.488222242417,0.11557717549685667,0,96,0,0,-96
246,56,21581.36110445488,0.1494206389669935,1,285,8407,1405,9527
247,18,20671.51755223107,0.05889753116258181,1,926,6029,2029,7132
248,25,42874.70435161183,0.00032799578618477167,1,447,5853,1345,6751
249,42,22893.455173092792,0.13827704593227813,0,64,0,0,-64
250,24,20269.455664902314,0.30005973764554167,1,139,5942,2967,8770
251,27,65230.55667725903,0.1601086351709393,1,716,5324,1425,6033
252,39,23509.223973797652,0.14354146744503424,1,520,5823,1618,6921
253,22,28539.377595001162,0.26510485741427775,0,103,0,0,-103
254,44,24553.842927263147,0.042676342649486845,0,27,0,0,-27
255,56,20417.77854378324,0.04192448921549973,1,1138,6874,1364,7100
256,27,30254.466229136153,0.12626188417349585,0,13,0,0,-13
257,35,28740.57860629521,0.07662393908020919,0,52,0,0,-52
258,40,21052.939599610592,0.00995822194241095,0,18,0,0,-18
259,22,23011.67298354517,0.13013327091969387,1,739,8679,4768,12708
260,71,20232.904364772265,0.0641857608738071,1,902,8252,2762,10112
261,40,21892.162254110524,0.07291533129607773,0,34,0,0,-34
262,49,27776.376470208495,0.03863466939797321,1,792,5476,1364,6048
263,48,24408.680794621232,0.10507386604152379,1,128,5773,2187,7832
264,57,59533.26337046777,0.11333695491111453,1,129,7406,2119,9396
265,45,68743.01924975068,0.03928375524599311,1,493,5720,2677,7904
266,35,24687.899411254937,0.21882965514929537,1,119,6985,1588,8454
267,73,20546.454026183892,0.05765746610131592,1,1545,17114,1610,17179
268,64,21915.045288016867,0.053301417011619084,1,592,5489,1502,6399
269,20,20173.97308968811,0.15983119785020056,1,669,10519,1617,11467
270,23,22069.655544926907,0.0016551685251711284,1,748,6517,1349,7118
271,42,22675.893127533207,0.2129165776090349,1,2264,10282,1564,9582
272,54,29478.764793217837,0.20153495190727078,1,792,6837,1356,7401
273,23,37486.90231510502,0.10298385564162009,1,121,18953,2228,21060
274,25,23926.745079686592,0.15482481510163934,0,2,0,0,-2
275,27,43586.39645849158,0.19033678666186032,1,511,12621,1928,14038
276,22,28456.615437354725,0.21039413203180948,0,173,0,0,-173
277,31,23356.34454948172,0.27597562721204005,1,282,27618,1387,28723
278,49,21456.467247250795,0.1813022079288986,1,739,6497,3673,9431
279,18,29035.302179704144,0.015058424113402028,1,120,5280,2186,7346
280,18,24385.548880816816,0.19218748736808716,0,12,0,0,-12
281,40,27816.842933416407,0.046708798834620924,1,55,7153,1559,8657
282,25,29187.081853568216,0.23998766905827673,1,46,6780,1833,8567
283,34,24018.339852318662,0.1265989975213402,1,451,9503,2460,11512
284,36,23089.810673925556,0.06369938135645191,1,151,6913,2332,9094
285,22,26310.133189742926,0.22296702687372438,0,9,0,0,-9
286,30,31819.902983641114,0.06017533116343375,1,136,31208,3246,34318
287,36,50088.21074791177,0.06753916592117527,1,22,5402,1860,7240
288,42,21253.90220905339,0.29794949192360093,0,89,0,0,-89
289,49,43979.65427708488,0.17338665491039149,1,445,6167,3040,8762
290,37,68192.95566434166,0.10447527673169583,1,783,16552,1381,17150
291,60,21633.955956713253,0.12830205538731035,1,175,7419,1621,8865
292,19,29504.280584395892,0.08079178812135712,0,31,0,0,-31
293,60,25278.24055989099,0.0001949767600717891,1,75,10363,1391,11679
294,32,55230.725875150696,0.08749046774219672,1,379,5822,1523,6966
295,41,27808.344457358253,0.06221327807414706,0,51,0,0,-51
296,70,35427.711806467865,0.08097148569987046,1,59,23135,1723,24799
297,34,30814.77878938094,0.05219545884869522,1,1023,15692,1387,16056
298,57,23226.185042689052,0.004082816142230128,1,218,43654,1991,45427
299,25,21350.854596404257,0.03799018182378656,1,763,7632,1625,8494
300,58,21163.262382522713,0.2841513655195665,1,972,6922,1678,7628
301,49,72182.14890940624,0.2895762581036221,1,306,8500,1343,9537
302,40,26474.594595278042,0.01559331401867685,1,464,17413,1675,18624
303,61,23463.791483456527,0.039128869734273236,0,18,0,0,-18
304,50,21682.215028321185,0.3615992614729597,0,29,0,0,-29
305,28,22823.02747545297,0.02708561744620997,1,469,13782,1674,14987
306,53,22930.330444677864,0.1561993501826521,1,260,6447,1610,7797
307,61,26238.770084758526,0.043406276295986736,0,36,0,0,-36
308,61,20949.382289651727,0.06058069274384687,0,75,0,0,-75
309,38,29549.88255230625,0.2985516615835341,1,558,8394,1386,9222
310,59,25441.811056002894,0.022491721626661493,1,475,7370,1876,8771
311,68,28403.275848934423,0.11970345791094565,0,258,0,0,-258
312,46,20697.410745281763,0.06656463754231383,1,151,6502,2412,8763
313,21,21852.193694622085,0.027598168611204375,1,238,17874,1333,18969
314,19,23598.397086889312,0.03833480149621718,1,619,5488,1366,6235
315,28,62195.40617144905,0.03312317518958895,0,94,0,0,-94
316,49,29694.347893391154,0.15579687537857645,0,5,0,0,-5
317,40,32852.313891719605,0.1259524082310719,1,610,10665,4431,14486
318,58,30137.143128732703,0.06883267799772817,1,1470,6140,1687,6357
319,27,24350.84853243116,0.06585609744734139,1,650,5313,1488,6151
320,23,29587.11697638922,0.14532633220930394,1,60,16477,1461,17878
321,47,26976.776648499126,0.24137507382985288,0,15,0,0,-15
322,23,21400.802690822755,0.03321637024719753,1,473,7895,1480,8902
323,19,21538.418442612532,0.145589566745739,1,2279,8280,1504,7505
324,20,21037.063884386516,0.24350440448697644,1,765,17383,2554,19172
325,23,21228.438882233204,0.0069903057312078,1,158,12726,1406,13974
326,53,41762.50074577708,0.13669542209177513,1,765,8194,3466,10895
327,44,29056.59481149266,0.02697529785244491,1,15,11945,1853,13783
328,58,26672.42402577547,0.10649063102484398,1,775,5864,1583,6672
329,42,24379.68340876823,0.0419204952361829,1,303,13319,1381,14397
330,42,27195.952226907397,0.053510357766567485,1,159,6169,1949,7959
331,22,20584.922853015225,0.020926058201870386,1,236,76630,2412,78806
332,44,20987.783045352167,0.22512857193203334,1,320,13901,1617,15198
333,50,23590.312604673243,0.16234590109051342,1,141,7636,3400,10895
334,29,23929.719065101213,0.02428054659495246,1,362,5304,1505,6447
335,21,22552.066016315483,0.2511815313411841,1,230,6129,1846,7745
336,59,38081.07369290821,0.104495182312979,1,909,10692,1795,11578
337,49,24294.940132673353,0.001493824795074995,1,321,18869,1343,19891
338,24,27257.441438566762,0.2509833920347491,0,5,0,0,-5
339,35,22195.273232171716,0.7822851195157609,0,85,0,0,-85
340,66,25708.237256566616,0.05368473426078897,1,1059,12575,1336,12852
341,49,22848.46989860148,0.4377588601998835,0,50,0,0,-50
342,18,22486.73787159754,0.43690135771016686,0,0,0,0,0
343,32,27609.483882467317,0.13372488862492146,0,76,0,0,-76
344,29,21319.634408064507,0.17131332849612135,0,24,0,0,-24
345,74,23818.31196765807,0.14451908087918874,1,128,5386,2005,7263
346,25,20921.08398337084,0.031695911629474806,1,467,13382,1949,14864
347,42,22189.07934564804,0.13255015963342218,1,570,6607,3931,9968
348,67,20923.879834568706,0.20044091464597594,0,32,0,0,-32
349,23,34115.73420615654,0.04363019385496476,1,652,5686,3366,8400
350,39,20060.54756236827,0.14259731684676252,0,9,0,0,-9
351,33,25690.813066866023,0.058131970835081,1,100,6773,2174,8847
352,36,24549.92645575179,0.0042856556427241866,0,5,0,0,-5
353,62,25176.41631010662,0.034521325593179296,0,156,0,0,-156
354,34,27249.267154615594,0.0690184216959203,1,508,9943,1694,11129
355,32,25170.66322511671,0.04167753513374067,0,37,0,0,-37
356,22,40558.60936423994,0.069182008438841,1,207,8546,1459,9798
357,52,44703.17778577426,0.048867106951996676,1,123,5577,1624,7078
358,39,22392.26494669329,0.007191791011176843,0,22,0,0,-22
359,23,63071.81988463474,0.08869345387593523,1,152,6345,1579,7772
360,49,21890.16312893249,0.33430039915629367,0,75,0,0,-75
361,55,38069.910356503446,0.05814682088591721,1,1563,7010,1339,6786
362,24,20690.166869744506,0.11186671801617758,1,649,5816,2019,7186
363,58,23346.58207823564,0.032795288960398024,1,1154,6746,1385,6977
364,30,23025.263986585152,0.05643586314113606,1,1216,6013,1863,6660
365,30,38436.698186664966,0.3832427792035187,1,1286,6876,1622,7212
366,47,21453.830926214876,0.09054676354556314,0,10,0,0,-10
367,30,22300.483878631036,0.06828351832390742,1,593,7268,1410,8085
368,23,20486.245683009718,0.16047173667831965,1,779,10524,1405,11150
369,52,87576.92295813696,0.07425982707958187,0,2,0,0,-2
370,25,21605.45996085774,0.006580422154977066,1,224,40847,1910,42533
371,50,27443.563560992574,0.0912185816235801,1,1306,20548,1434,20676
372,20,81705.54645198904,0.33708333609708246,0,35,0,0,-35
373,20,46103.974518158546,0.1740247994846682,1,130,8772,2908,11550
374,30,30644.829540517047,0.04044549122513283,1,365,7767,1424,8826
375,28,54658.675618104666,0.22272135632525766,1,415,9013,2316,10914
376,72,20650.44640856629,0.059574090283656365,1,131,6376,1924,8169
377,57,22345.487770993175,0.2616730165103771,1,313,8830,1411,9928
378,18,28174.555992059362,0.017298898739425143,1,72,9901,1355,11184
379,67,24689.356170000334,0.07527239098736768,1,276,7713,1467,8904
380,73,25206.43605739309,0.1474108710005381,1,1143,6214,2391,7462
381,40,25921.965516538337,0.12205263188878702,0,32,0,0,-32
382,37,25911.083279062033,0.0024345666018692055,0,101,0,0,-101
383,42,20553.348558161204,0.19958178843078575,1,1447,6399,1347,6299
384,25,25657.29498808314,0.1398344581887351,0,29,0,0,-29
385,52,28002.27453664318,0.04887070137912953,1,500,9150,3023,11673
386,56,46582.31410299833,0.2210104000941404,0,21,0,0,-21
387,32,31408.60230489639,0.03363459777585277,1,251,7437,2554,9740
388,48,21410.50852382125,0.07572634175358063,1,138,8705,1398,9965
389,55,41100.526580623795,0.33572901601354466,0,3,0,0,-3
390,68,26120.558683666663,0.18460187365581093,1,145,5383,1691,6929
391,19,29421.260407756807,0.04931355163030923,1,490,7326,1709,8545
392,58,25230.956412465683,0.22010706897460486,0,2,0,0,-2
393,48,23002.210238768912,0.1942490043298254,0,24,0,0,-24
394,38,24205.73651948638,0.12831853993958348,0,22,0,0,-22
395,21,38045.79534156737,0.008393182197750622,0,111,0,0,-111
396,20,23683.456621176174,0.014750473104981102,0,53,0,0,-53
397,33,31317.71786362096,0.49281253228295635,1,122,6002,2000,7880
398,55,37703.55172909403,0.17647939902367527,0,36,0,0,-36
399,34,22524.458822949866,0.080269311038785,1,305,5658,1349,6702
400,21,26536.617249912208,0.15958103659445133,1,1157,13962,1469,14274
401,24,37630.824174103655,0.0785866285616485,1,382,6906,1808,8332
402,30,24931.593841916332,0.1116530345794299,1,1203,6069,1484,6350
403,22,24468.843311847857,0.04882703280323178,1,963,5765,1825,6627
404,31,22847.967395910728,0.129804597792798,1,1021,8454,1400,8833
405,37,21546.454054465165,0.08974579382356566,1,432,19121,2523,21212
406,25,38696.457800271826,0.031125612032538098,1,160,13027,1891,14758
407,56,24540.571228305023,0.035427304670230836,1,42,10456,2051,12465
408,36,26945.418769673903,0.019332871695266728,1,732,5789,1948,7005
409,27,25016.842583162143,0.11405970832307381,1,1003,5418,1575,5990
410,59,21833.256273068204,0.3813116434793446,1,57,8638,2067,10648
411,66,21377.352232419686,0.08030977249385456,1,1262,5636,1452,5826
412,26,21011.688139973405,0.07870088226342792,1,565,6349,2311,8095
413,32,33385.12460483447,0.013845648940095342,1,1156,5595,5077,9516
